song,album
"Good Times Bad Times","Led Zeppelin"
"Babe I'm Gonna Leave You","Led Zeppelin"
"You Shook Me","Led Zeppelin"
"Dazed and Confused","Led Zeppelin"
"Your Time Is Gonna Come","Led Zeppelin"
"Black Mountain Side","Led Zeppelin"
"Communication Breakdown","Led Zeppelin"
"I Can't Quit You Baby","Led Zeppelin"
"How Many More Times","Led Zeppelin"
"Whole Lotta Love","Led Zeppelin II"
"What Is and What Should Never Be","Led Zeppelin II"
"The Lemon Song","Led Zeppelin II"
"Thank You","Led Zeppelin II"
"Heartbreaker","Led Zeppelin II"
"Living Loving Maid (She's Just a Woman)","Led Zeppelin II"
"Ramble On","Led Zeppelin II"
"Moby Dick","Led Zeppelin II"
"Bring It On Home","Led Zeppelin II"
"Immigrant Song","Led Zeppelin III"
"Friends","Led Zeppelin III"
"Celebration Day","Led Zeppelin III"
"Since I've Been Loving You","Led Zeppelin III"
"Out on the Tiles","Led Zeppelin III"
"Gallows Pole","Led Zeppelin III"
"Tangerine","Led Zeppelin III"
"That's the Way","Led Zeppelin III"
"Bron-Y-Aur Stomp","Led Zeppelin III"
"Hats Off to (Roy) Harper","Led Zeppelin III"
"Black Dog","Led Zeppelin IV"
"Rock and Roll","Led Zeppelin IV"
"The Battle of Evermore","Led Zeppelin IV"
"Stairway to Heaven","Led Zeppelin IV"
"Misty Mountain Hop","Led Zeppelin IV"
"Four Sticks","Led Zeppelin IV"
"Going to California","Led Zeppelin IV"
"When the Levee Breaks","Led Zeppelin IV"
"The Song Remains the Same","Houses of the Holy"
"The Rain Song","Houses of the Holy"
"Over the Hills and Far Away","Houses of the Holy"
"The Crunge","Houses of the Holy"
"Dancing Days","Houses of the Holy"
"D'yer Mak'er","Houses of the Holy"
"No Quarter","Houses of the Holy"
"The Ocean","Houses of the Holy"
"Achilles Last Stand","Presence"
"For Your Life","Presence"
"Royal Orleans","Presence"
"Nobody's Fault but Mine","Presence"
"Candy Store Rock","Presence"
"Hots On for Nowhere","Presence"
"Tea for One","Presence"
"Custard Pie","Physical Graffiti"
"The Rover","Physical Graffiti"
"In My Time of Dying","Physical Graffiti"
"Houses of the Holy","Physical Graffiti"
"Trampled Under Foot","Physical Graffiti"
"Kashmir","Physical Graffiti"
"In the Light","Physical Graffiti"
"Bron-Yr-Aur","Physical Graffiti"
"Down by the Seaside","Physical Graffiti"
"Ten Years Gone","Physical Graffiti"
"Night Flight","Physical Graffiti"
"The Wanton Song","Physical Graffiti"
"Boogie with Stu","Physical Graffiti"
"Black Country Woman","Physical Graffiti"
"Sick Again","Physical Graffiti"
"In the Evening","In Through the Out Door"
"South Bound Saurez","In Through the Out Door"
"Fool in the Rain","In Through the Out Door"
"Hot Dog","In Through the Out Door"
"Carouselambra","In Through the Out Door"
"All My Love","In Through the Out Door"
"I'm Gonna Crawl","In Through the Out Door"
"We're Gonna Groove","Coda"
"Poor Tom","Coda"
"I Can't Quit You Baby","Coda"
"Walter's Walk","Coda"
"Ozone Baby","Coda"
"Darlene","Coda"
"Bonzo's Montreux","Coda"
"Wearing and Tearing","Coda"
"Baby Come On Home",NA
"Travelling Riverside Blues",NA
"White Summer/Black Mountain Side",NA
"Hey, Hey, What Can I Do",NA
