"","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_dt","event_time","presale_dt","onsale_dt","ord_create_dt","ord_create_time","sales_ord_tran_dt","print_dt","timezn_nm","venue_city_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm"
"1","Xfinity Center Mansfield Premier Parking: Florida Georgia Line","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Xfinity Center Mansfield Premier Parking: Florida Georgia Line","   THIS TICKET IS VALID        FOR PARKING ONLY         GOOD THIS DAY ONLY       PREMIER PARKING PASS    XFINITY CENTER,LOTS 4 PM  SAT SEP 12 2015 7:30 PM  ",1,45,"eTicket",2015-09-12,"23:30:00",NA,2015-05-15,2015-09-11,"18:17:45",2015-09-11,2015-09-12,"EST","MANSFIELD, MASSACHUSETTS","02048","www.concerts.livenation.com","T ","N ","Boston"
"2","Gorge Camping - dave matthews band - sept 3-7","Gorge Camping","Dave Matthews Band","MISC","CAMPING","INVALID","Gorge Camping - dave matthews band - sept 3-7","%OVERNIGHT C A M P I N G%* * * * * *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%SEP 3 - 6, 2009",1,75,"TicketFast",2009-09-05,"01:00:00",NA,2009-03-13,2009-07-06,"00:00:00",2009-07-05,2009-09-01,"PST","QUINCY, WASHINGTON","98848","NULL","T ","N ","Seattle"
"3","Dodge Theatre Adams Street Parking - benise","Parking Event","NULL","MISC","PARKING","PARKING","Dodge Theatre Adams Street Parking - benise","ADAMS STREET GARAGE%PARKING FOR 4/21/06 ONLY%DODGE THEATRE PARKING PASS%ENTRANCE ON ADAMS STREET%BENISE%GARAGE OPENS AT 6:00PM",1,5,"TicketFast",2006-04-22,"01:30:00",NA,2006-02-25,2006-04-05,"00:00:00",2006-04-05,2006-04-05,"MST","PHOENIX, ARIZONA","85003","NULL","T ","N ","Arizona"
"4","Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow","Gexa Energy Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow","   THIS TICKET IS VALID        FOR PARKING ONLY      GOOD FOR THIS DATE ONLY       VIP PARKING PASS        GEXA ENERGY PAVILION    FRI SEP 02 2011 7:00 PM  ",1,20,"Mail",2011-09-03,"00:00:00",NA,2011-04-22,2011-07-01,"17:38:50",2011-07-01,2011-07-06,"CST","DALLAS, TEXAS","75210","NULL","T ","N ","Dallas"
"5","Premier Parking - motley crue","White River Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking - motley crue","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%PREMIER PARKING PASS%WHITE RIVER AMPHITHEATRE%SAT JUL 30, 2005 6:00PM",1,20,"Mail",2005-07-31,"01:00:00",2005-03-02,2005-03-04,2005-06-18,"00:00:00",2005-06-18,2005-06-28,"PST","AUBURN, WASHINGTON","98092","NULL","T ","N ","Seattle"
"6","Fast Lane Access: Journey","Fast Lane Access","Journey","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Fast Lane Access: Journey","        FAST LANE                  JOURNEY               FAST LANE EVENT         THIS IS NOT A TICKET    SAN MANUEL AMPHITHEATER   SAT JUL 21 2012 7:00 PM  ",2,10,"TicketFast",2012-07-22,"02:00:00",NA,2012-04-11,2012-07-21,"17:20:18",2012-07-21,2012-07-21,"PST","SAN BERNARDINO, CALIFORNIA","92407","www.livenation.com","T ","N ","Los Angeles"
"7","Phil Lesh & friends-pnc bank arts center holmdel premier parking","PNC Bank Arts Center Holmdel Premier Parking","NULL","MISC","PARKING","PARKING","Phil Lesh & friends-pnc bank arts center holmdel premier parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%PNC BANK ARTS CENTER%SAT JUL 1, 2006 4:30PM",1,30,"TicketFast",2006-07-01,"20:30:00",NA,2006-05-12,2006-06-16,"00:00:00",2006-06-16,2006-06-16,"EST","HOLMDEL, NEW JERSEY","07733","NULL","T ","N ","New York"
"8","Star Parking Presented By Hertz: Train -  white river amp","White River Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Star Parking Presented By Hertz: Train -  white river amp"," THIS TICKET IS VALID FOR   PARKING THIS DATE ONLY      STAR PARKING PASS      WHITE RIVER AMPHITHEATRE    ENTER LOTS AT GATE 2    WED AUG 14 2013 7:30 PM  ",1,28,"Mail",2013-08-15,"02:00:00",NA,2013-02-16,2013-02-27,"18:48:23",2013-02-27,2013-03-04,"PST","AUBURN, WASHINGTON","98092","www.concerts.livenation.com","T ","N ","Seattle"
"9","Brad Paisley: Hertz Premier Parking","Hertz Premier Parking","Brad Paisley","MISC","PARKING","PARKING","Brad Paisley: Hertz Premier Parking","  HERTZ PREMIER PARKING          BRAD PAISLEY           NOT A SHOW TICKET     ASHLEY HOMESTORE PAVILION      REDEEM AT GATE 7      WED OCT 17 2012 7:00 PM  ",1,20,"TicketFast",2012-10-18,"02:00:00",NA,2012-08-18,2012-08-20,"17:57:39",2012-08-20,2012-08-20,"MST","PHOENIX, ARIZONA","85035","www.livenation.com","T ","N ","Arizona"
"10","Shlohmo","Shlohmo","Purple","CONCERTS","DANCE MUSIC/DANCE","CONCERTS","Shlohmo","       *** *** ***               THE FILLMORE            1805 GEARY BLVD               SHLOHMO           OPEN DANCE FLOOR/DRS 7PM  THU APR 30 2015 8:00 PM  ",1,25,"eTicket",2015-05-01,"03:00:00",NA,2014-12-12,2015-04-28,"07:07:40",2015-04-27,2015-04-30,"PST","SAN FRANCISCO, CALIFORNIA","94115","mobile.livenation.us","T ","Y ","N. California"
