"supergroup","first","last"
"Cream","Ginger","Baker"
"Cream","Jack","Bruce"
"Cream","Eric","Clapton"
"Crosby, Stills, Nash, and Young","David","Crosby"
"Crosby, Stills, Nash, and Young","Graham","Nash"
"Crosby, Stills, Nash, and Young","Stephen","Stills"
"Crosby, Stills, Nash, and Young","Neil","Young"
"The Highwaymen","Johnny","Cash"
"The Highwaymen","Waylon","Jennings"
"The Highwaymen","Kris","Kristofferson"
"The Highwaymen","Willie","Nelson"
"The Traveling Wilburys","Bob","Dylan"
"The Traveling Wilburys","George","Harrison"
"The Traveling Wilburys","Jeff","Lynne"
"The Traveling Wilburys","Roy","Orbison"
"The Traveling Wilburys","Tom","Petty"
