"","date","events","cloud_cover","max_dew_point_f","max_gust_speed_mph","max_humidity","max_sea_level_pressure_in","max_temperature_f","max_visibility_miles","max_wind_speed_mph","mean_humidity","mean_sea_level_pressure_in","mean_temperature_f","mean_visibility_miles","mean_wind_speed_mph","mean_dew_point_f","min_dew_point_f","min_humidity","min_sea_level_pressure_in","min_temperature_f","min_visibility_miles","precipitation_in","wind_dir_degrees"
"1",2014-12-01,"Rain",6,46,29,74,30.45,64,10,22,63,30.13,52,10,13,40,26,52,30.01,39,10,0.01,268
"2",2014-12-10,"Rain",8,45,29,100,29.58,48,10,23,95,29.5,43,3,13,39,37,89,29.43,38,1,0.28,357
"3",2014-12-11,"Rain-Snow",8,37,28,92,29.81,39,10,21,87,29.61,36,7,13,31,27,82,29.44,32,1,0.02,230
"4",2014-12-12,"Snow",7,28,21,85,29.88,39,10,16,75,29.85,35,10,11,27,25,64,29.81,31,7,0,286
"5",2014-12-13,"None",5,28,23,75,29.86,42,10,17,65,29.82,37,10,12,26,24,55,29.78,32,10,0,298
"6",2014-12-14,"None",4,29,20,82,29.91,45,10,15,68,29.83,39,10,10,27,25,53,29.78,33,10,0,306
"7",2014-12-15,"None",2,33,21,89,30.15,42,10,15,75,30.05,37,10,6,29,27,60,29.91,32,10,0,324
"8",2014-12-16,"Rain",8,42,10,96,30.17,44,10,8,85,30.09,40,9,4,36,30,73,29.92,35,5,0,79
"9",2014-12-17,"Rain",8,46,26,100,29.91,49,10,20,85,29.75,45,6,11,41,32,70,29.69,41,1,0.43,311
"10",2014-12-18,"Rain",7,34,30,89,29.87,44,10,23,73,29.78,40,10,14,30,26,57,29.71,36,10,0.01,281
"11",2014-12-19,"None",4,25,23,69,30.15,37,10,17,63,29.98,33,10,11,22,20,56,29.86,29,10,0,305
"12",2014-12-02,"Rain-Snow",7,40,29,92,30.71,42,10,24,72,30.59,38,8,15,27,17,51,30.4,33,2,0.1,62
"13",2014-12-20,"Snow",6,30,26,89,30.31,36,10,21,79,30.26,32,10,10,24,20,69,30.17,27,7,0,350
"14",2014-12-21,"Snow",8,30,20,85,30.37,36,10,16,77,30.32,33,9,9,27,25,69,30.28,30,6,0,2
"15",2014-12-22,"Rain",7,39,22,89,30.4,44,10,18,79,30.35,39,10,8,34,25,69,30.3,33,4,0.05,24
"16",2014-12-23,"Rain",8,45,25,100,30.31,47,10,20,91,30.23,45,5,13,42,37,82,30.16,42,1,0.25,63
"17",2014-12-24,"Fog-Rain",8,46,15,100,30.13,46,2,13,98,29.9,44,1,6,44,41,96,29.55,41,0,0.56,12
"18",2014-12-25,"Rain",6,58,40,100,29.96,59,10,28,75,29.63,52,8,14,43,29,49,29.47,44,1,0.14,250
"19",2014-12-26,"None",1,31,25,70,30.16,50,10,18,60,30.11,44,10,11,29,28,49,29.99,37,10,0,255
"20",2014-12-27,"None",3,34,21,70,30.22,52,10,17,60,30.14,45,10,9,31,29,50,30.03,38,10,0,251
